ocm_id_reported	canonical_ocm_id	abcb1_normalized_read_count	abcb1_missing_reason	source	source_pmc
328-3	OCM328-3	0.0	NA	Tighe2025 Table S2	PMC12208324
361a	OCM361a	0.0	NA	Tighe2025 Table S2	PMC12208324
381	OCM381	0.0	NA	Tighe2025 Table S2	PMC12208324
59-3	OCM59-3	0.0	NA	Tighe2025 Table S2	PMC12208324
109	OCM109	0.72300242	NA	Tighe2025 Table S2	PMC12208324
33-2	OCM33-2	0.992872368353821	NA	Tighe2025 Table S2	PMC12208324
250-2	OCM250-2	1.04393412805045	NA	Tighe2025 Table S2	PMC12208324
124-1	OCM124-1	1.20386766580773	NA	Tighe2025 Table S2	PMC12208324
292	OCM292	1.33731061523082	NA	Tighe2025 Table S2	PMC12208324
346	OCM346	1.9	NA	Tighe2025 Table S2	PMC12208324
64-3-	OCM64-3-Ep-	2.1	NA	Tighe2025 Table S2	PMC12208324
361b	OCM361b	2.2	NA	Tighe2025 Table S2	PMC12208324
231-1	OCM231-1	3.6	NA	Tighe2025 Table S2	PMC12208324
341-1	OCM341-1	4.4	NA	Tighe2025 Table S2	PMC12208324
203-2	OCM203-2	4.4	NA	Tighe2025 Table S2	PMC12208324
72	OCM72	5.6	NA	Tighe2025 Table S2	PMC12208324
118-7	OCM118-7	6.2	NA	Tighe2025 Table S2	PMC12208324
324	OCM324	6.5	NA	Tighe2025 Table S2	PMC12208324
118-1	OCM118-1	6.5	NA	Tighe2025 Table S2	PMC12208324
86	OCM86	8.4	NA	Tighe2025 Table S2	PMC12208324
79	OCM79	8.7	NA	Tighe2025 Table S2	PMC12208324
301	OCM301	13.7	NA	Tighe2025 Table S2	PMC12208324
124-11	OCM124-11	15.2	NA	Tighe2025 Table S2	PMC12208324
128	OCM128	18.8	NA	Tighe2025 Table S2	PMC12208324
92	OCM92	19.0	NA	Tighe2025 Table S2	PMC12208324
148	OCM148	20.3	NA	Tighe2025 Table S2	PMC12208324
66-1	OCM66-1	22.3	NA	Tighe2025 Table S2	PMC12208324
295	OCM295	23.2	NA	Tighe2025 Table S2	PMC12208324
66-5	OCM66-5	27.3	NA	Tighe2025 Table S2	PMC12208324
333-3	OCM333-3	29.8153418971415	NA	Tighe2025 Table S2	PMC12208324
202-3	OCM202-3	31.6348127103148	NA	Tighe2025 Table S2	PMC12208324
296-3	OCM296-3	33.4073014436495	NA	Tighe2025 Table S2	PMC12208324
64-3+	OCM64-3-Ep+	34.1680859867258	NA	Tighe2025 Table S2	PMC12208324
38	OCM38	36.0988369503398	NA	Tighe2025 Table S2	PMC12208324
130	OCM130	38.5235168111501	NA	Tighe2025 Table S2	PMC12208324
106	OCM106	40.8657752489158	NA	Tighe2025 Table S2	PMC12208324
334	OCM334	41.3169644605373	NA	Tighe2025 Table S2	PMC12208324
303-2	OCM303-2	45.9567012756401	NA	Tighe2025 Table S2	PMC12208324
152	OCM152	47.2808843618698	NA	Tighe2025 Table S2	PMC12208324
80-2	OCM80-2	47.782283285576	NA	Tighe2025 Table S2	PMC12208324
217-2	OCM217-2	49.685138807714	NA	Tighe2025 Table S2	PMC12208324
191	OCM191	49.985037682685	NA	Tighe2025 Table S2	PMC12208324
277-2	OCM277-2	50.8381008060094	NA	Tighe2025 Table S2	PMC12208324
87	OCM87	53.4303190756611	NA	Tighe2025 Table S2	PMC12208324
333-1	OCM333-1	56.533089106937	NA	Tighe2025 Table S2	PMC12208324
325	OCM325	60.874321818289	NA	Tighe2025 Table S2	PMC12208324
376Ta	OCM376a	62.322504484009	NA	Tighe2025 Table S2	PMC12208324
99	OCM99	69.1217314889611	NA	Tighe2025 Table S2	PMC12208324
311	OCM311	70.4529709877734	NA	Tighe2025 Table S2	PMC12208324
322	OCM322	76.97888256275439	NA	Tighe2025 Table S2	PMC12208324
314	OCM314	81.113733831776	NA	Tighe2025 Table S2	PMC12208324
46-3	OCM46-3	89.961352325431	NA	Tighe2025 Table S2	PMC12208324
327-3	OCM327-3	128.159698121637	NA	Tighe2025 Table S2	PMC12208324
162-2	OCM162-2	129.566695977674	NA	Tighe2025 Table S2	PMC12208324
167	OCM167	133.593613845913	NA	Tighe2025 Table S2	PMC12208324
316	OCM316	152.614353074972	NA	Tighe2025 Table S2	PMC12208324
105	OCM105	157.645888934877	NA	Tighe2025 Table S2	PMC12208324
296-5	OCM296-5	179.326241055372	NA	Tighe2025 Table S2	PMC12208324
195	OCM195	201.771013901405	NA	Tighe2025 Table S2	PMC12208324
132	OCM132	210.37216739495	NA	Tighe2025 Table S2	PMC12208324
231-5	OCM231-5	214.835152590481	NA	Tighe2025 Table S2	PMC12208324
161-1	OCM161-1	235.375609058457	NA	Tighe2025 Table S2	PMC12208324
293-4	OCM293-4	295.241688819426	NA	Tighe2025 Table S2	PMC12208324
267	OCM267	299.504254464392	NA	Tighe2025 Table S2	PMC12208324
288-7	OCM288-7	299.726856655318	NA	Tighe2025 Table S2	PMC12208324
74-5	OCM74-5	362.15960141897	NA	Tighe2025 Table S2	PMC12208324
288-4	OCM288-4	368.586538442346	NA	Tighe2025 Table S2	PMC12208324
83	OCM83	377.058211544096	NA	Tighe2025 Table S2	PMC12208324
246	OCM246	477.048689756314	NA	Tighe2025 Table S2	PMC12208324
358	OCM358	489.447184033274	NA	Tighe2025 Table S2	PMC12208324
95	OCM95	537.603280038423	NA	Tighe2025 Table S2	PMC12208324
165	OCM165	545.466924023113	NA	Tighe2025 Table S2	PMC12208324
110-1	OCM110-1	581.79639438612	NA	Tighe2025 Table S2	PMC12208324
320	OCM320	1134.18524292425	NA	Tighe2025 Table S2	PMC12208324
64-1	OCM64-1	1770.81899929967	NA	Tighe2025 Table S2	PMC12208324
110-9	OCM110-9	1824.11144357696	NA	Tighe2025 Table S2	PMC12208324
