Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[individual]	Characteristics[sex]	Characteristics[cell type]	Characteristics[developmental stage]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[individual]
OCM130-T	ERS21376681	SAMEA116327838	Homo sapiens	primary cell line	130	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM130-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM130-T	sequencing assay	ERX13308856	P-MTAB-148506	LN116_S77_R1_001.fastq.gz	LN116_S77_R1_001.fastq.gz	ERR13907037	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/037/ERR13907037/ERR13907037_1.fastq.gz	130
OCM130-T	ERS21376681	SAMEA116327838	Homo sapiens	primary cell line	130	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM130-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM130-T	sequencing assay	ERX13308856	P-MTAB-148506	LN116_S77_R2_001.fastq.gz	LN116_S77_R2_001.fastq.gz	ERR13907037	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/037/ERR13907037/ERR13907037_2.fastq.gz	130
OCM162-2-T	ERS21376682	SAMEA116327839	Homo sapiens	primary cell line	162	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM162-2-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM162-2-T	sequencing assay	ERX13308857	P-MTAB-148506	LN96_S57_R2_001.fastq.gz	LN96_S57_R2_001.fastq.gz	ERR13907038	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/038/ERR13907038/ERR13907038_1.fastq.gz	162
OCM162-2-T	ERS21376682	SAMEA116327839	Homo sapiens	primary cell line	162	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM162-2-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM162-2-T	sequencing assay	ERX13308857	P-MTAB-148506	LN96_S57_R1_001.fastq.gz	LN96_S57_R1_001.fastq.gz	ERR13907038	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/038/ERR13907038/ERR13907038_2.fastq.gz	162
OCM250-2-T	ERS21376683	SAMEA116327840	Homo sapiens	primary cell line	250	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM250-2-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM250-2-T	sequencing assay	ERX13308858	P-MTAB-148506	LN109_S70_R2_001.fastq.gz	LN109_S70_R2_001.fastq.gz	ERR13907039	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/039/ERR13907039/ERR13907039_1.fastq.gz	250
OCM250-2-T	ERS21376683	SAMEA116327840	Homo sapiens	primary cell line	250	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM250-2-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM250-2-T	sequencing assay	ERX13308858	P-MTAB-148506	LN109_S70_R1_001.fastq.gz	LN109_S70_R1_001.fastq.gz	ERR13907039	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/039/ERR13907039/ERR13907039_2.fastq.gz	250
OCM267-T	ERS21376684	SAMEA116327841	Homo sapiens	primary cell line	267	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM267-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM267-T	sequencing assay	ERX13308859	P-MTAB-148506	LN115_S76_R1_001.fastq.gz	LN115_S76_R1_001.fastq.gz	ERR13907040	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13907040/ERR13907040_1.fastq.gz	267
OCM267-T	ERS21376684	SAMEA116327841	Homo sapiens	primary cell line	267	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM267-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM267-T	sequencing assay	ERX13308859	P-MTAB-148506	LN115_S76_R2_001.fastq.gz	LN115_S76_R2_001.fastq.gz	ERR13907040	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/040/ERR13907040/ERR13907040_2.fastq.gz	267
OCM288-4-T	ERS21376685	SAMEA116327842	Homo sapiens	primary cell line	288	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM288-4-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM288-4-T	sequencing assay	ERX13308860	P-MTAB-148506	LN104_S65_R2_001.fastq.gz	LN104_S65_R2_001.fastq.gz	ERR13907041	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/041/ERR13907041/ERR13907041_1.fastq.gz	288
OCM288-4-T	ERS21376685	SAMEA116327842	Homo sapiens	primary cell line	288	female	tumour cell	adult	cell	P-MTAB-148503	P-MTAB-148507	P-MTAB-148504	P-MTAB-148505	OCM288-4-T	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	140	40	5'-3'-5'-3'	P-MTAB-148506	University of Manchester	OCM288-4-T	sequencing assay	ERX13308860	P-MTAB-148506	LN104_S65_R1_001.fastq.gz	LN104_S65_R1_001.fastq.gz	ERR13907041	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/041/ERR13907041/ERR13907041_2.fastq.gz	288
