run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_name	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	first_public
ERR6389066	PRJEB46736	ERP130952	ERX6018164	SAMEA9490348	ERS7213188	E-MTAB-10801:OCM109-S	OCM109-S	OCM109-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	119524378	8966267400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/006/ERR6389066/ERR6389066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/006/ERR6389066/ERR6389066_2.fastq.gz	8527b5c922a66304f841b42cabede974;4e63f9f6abebdfcb57073a94e2fdc976	2579933353;3018151649	2021-08-09
ERR6389067	PRJEB46736	ERP130952	ERX6018165	SAMEA9490349	ERS7213189	E-MTAB-10801:OCM109-T	OCM109-T	OCM109-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	108682326	8146218704	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/007/ERR6389067/ERR6389067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/007/ERR6389067/ERR6389067_2.fastq.gz	15a41c9f0bd7ef8b00d29a5fcfa58297;8ff3db4ae14ceae9c735302fd48e488f	2324163883;2722837587	2021-08-09
ERR6389071	PRJEB46736	ERP130952	ERX6018169	SAMEA9490353	ERS7213193	E-MTAB-10801:OCM110-T	OCM110-T	OCM110-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	116770132	8792730551	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389071/ERR6389071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/001/ERR6389071/ERR6389071_2.fastq.gz	727fc51fcb673ebe1dd18a3f989528e6;ccad298f055cc70bab306077fbac6a0c	2426979174;2691221615	2021-08-09
ERR6389072	PRJEB46736	ERP130952	ERX6018170	SAMEA9490354	ERS7213194	E-MTAB-10801:OCM118-7-S	OCM118-7-S	OCM118-7-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	95900172	7211854196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/002/ERR6389072/ERR6389072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/002/ERR6389072/ERR6389072_2.fastq.gz	dea970ed4fc7676359211aad83abaad7;67484dbf02b5b99325238301e0b6aa67	2054636607;2393857261	2021-08-09
ERR6389073	PRJEB46736	ERP130952	ERX6018171	SAMEA9490355	ERS7213195	E-MTAB-10801:OCM118-7-T	OCM118-7-T	OCM118-7-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	105276978	7900264202	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/003/ERR6389073/ERR6389073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/003/ERR6389073/ERR6389073_2.fastq.gz	99fce075903f3bd79811b7fbb115e0a1;5349e9957e5424c053dcaf603be3b3d5	2303822129;2662230212	2021-08-09
ERR6389078	PRJEB46736	ERP130952	ERX6018176	SAMEA9490360	ERS7213200	E-MTAB-10801:OCM124-S	OCM124-S	OCM124-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	120566594	9079208127	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/008/ERR6389078/ERR6389078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/008/ERR6389078/ERR6389078_2.fastq.gz	ff6d7544cf176bfbefe68e831fcacd9e;caf807e462ef99ccb97d1a3af4334278	2495682818;2735718541	2021-08-09
ERR6389083	PRJEB46736	ERP130952	ERX6018181	SAMEA9490365	ERS7213205	E-MTAB-10801:OCM161-S	OCM161-S	OCM161-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	98961916	7443626516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/003/ERR6389083/ERR6389083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/003/ERR6389083/ERR6389083_2.fastq.gz	4e45280cd1639c26478690a388cf8add;7a762a6bb62359369609a6bd52942d15	2106312261;2448590762	2021-08-09
ERR6389084	PRJEB46736	ERP130952	ERX6018182	SAMEA9490366	ERS7213206	E-MTAB-10801:OCM161-T	OCM161-T	OCM161-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	99315736	7452295239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/004/ERR6389084/ERR6389084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/004/ERR6389084/ERR6389084_2.fastq.gz	37e1e7e91362aa104d61859efd7a1731;1026f52e7690bd7c20583f1136b1da64	2086422638;2409499873	2021-08-09
ERR6389093	PRJEB46736	ERP130952	ERX6018191	SAMEA9490375	ERS7213215	E-MTAB-10801:OCM231-T	OCM231-T	OCM231-T_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	79664658	5993144487	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/003/ERR6389093/ERR6389093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/003/ERR6389093/ERR6389093_2.fastq.gz	472f82beb8106896c7cddc78983ede61;aed44051c98b25b67ed92483560a1ad4	1702809920;1963801658	2021-08-09
ERR6389095	PRJEB46736	ERP130952	ERX6018193	SAMEA9490377	ERS7213217	E-MTAB-10801:OCM80-S	OCM80-S	OCM80-S_p	RNA-Seq	TRANSCRIPTOMIC	PolyA	PAIRED	ILLUMINA	Illumina HiSeq 4000	80335372	6033335672	ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/005/ERR6389095/ERR6389095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR638/005/ERR6389095/ERR6389095_2.fastq.gz	9fd2a3004762912d7bc20a4ee480b16a;be0b657d80592cbea6254caeab6d281f	1709046644;1924785677	2021-08-09
