evidence_id	value	unit	evidence_class	source_path	source_locator	derivation	claim_limit
cohort.manifest_runs	117	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	count unique run_accession	Input/cohort accounting only
cohort.primary_ocms	60	OCMs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	count primary_hgsoc_tumour rows	Input/cohort accounting only
cohort.primary_patients	52	patients	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	count distinct patient_id among primary rows	Input/cohort accounting only
cohort.repeated_patients	7	patients	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	count primary patient_id values represented by more than one row	Input/cohort accounting only
cohort.rows_from_repeated_patients	15	OCMs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	sum rows contributed by repeated patients	Input/cohort accounting only
cohort.one_per_patient_selections	192	valid selections	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	product of repeated-family sizes: 2^6 times 3	Input/cohort accounting only
cohort.fastq_objects	234	files	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	split each fastq_bytes field on semicolon and count	Input/cohort accounting only
cohort.fastq_bytes	477762645114	bytes	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	all rows	sum every semicolon-delimited fastq_bytes integer	Input/cohort accounting only
cohort.E-MTAB-7223.all_runs	36	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute all_runs	Input/cohort accounting only
cohort.E-MTAB-7223.primary_hgsoc_tumour	9	OCMs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute primary_hgsoc_tumour	Input/cohort accounting only
cohort.E-MTAB-7223.primary_patients_within_study	7	patients	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute primary_patients_within_study	Input/cohort accounting only
cohort.E-MTAB-7223.stroma_reference	16	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute stroma_reference	Input/cohort accounting only
cohort.E-MTAB-7223.cell_line_control	2	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute cell_line_control	Input/cohort accounting only
cohort.E-MTAB-7223.tumour_non_hgsoc_or_ambiguous	5	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute tumour_non_hgsoc_or_ambiguous	Input/cohort accounting only
cohort.E-MTAB-7223.tumour_not_in_tighe_screen	3	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute tumour_not_in_tighe_screen	Input/cohort accounting only
cohort.E-MTAB-7223.tumour_nonrepresentative_duplicate	1	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute tumour_nonrepresentative_duplicate	Input/cohort accounting only
cohort.E-MTAB-7223.fastq_objects	72	files	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute fastq_objects	Input/cohort accounting only
cohort.E-MTAB-7223.fastq_bytes	188841300121	bytes	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-7223	group by study and compute fastq_bytes	Input/cohort accounting only
cohort.E-MTAB-10801.all_runs	36	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute all_runs	Input/cohort accounting only
cohort.E-MTAB-10801.primary_hgsoc_tumour	13	OCMs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute primary_hgsoc_tumour	Input/cohort accounting only
